Date	MSFT	VTI
2016-12-27	63.279999	116.709999
2016-12-28	62.990002000000004	115.739998
2016-12-29	62.900002	115.75
2016-12-30	62.139998999999996	115.32
2017-01-03	62.580002	116.199997
2017-01-04	62.299999	117.089996
2017-01-05	62.299999	116.860001
2017-01-06	62.84	117.230003
2017-01-09	62.639998999999996	116.779999
2017-01-10	62.619999	116.870003
2017-01-11	63.189999	117.239998
2017-01-12	62.610001000000004	116.93
2017-01-13	62.700001	117.220001
2017-01-17	62.529999	116.699997
2017-01-18	62.5	116.970001
2017-01-19	62.299999	116.510002
2017-01-20	62.740002000000004	116.910004
2017-01-23	62.959998999999996	116.599998
2017-01-24	63.52	117.510002
2017-01-25	63.68	118.519997
2017-01-26	64.269997	118.349998
2017-01-27	65.779999	118.160004
2017-01-30	65.129997	117.360001
2017-01-31	64.650002	117.459999
2017-02-01	63.580002	117.449997
2017-02-02	63.169998	117.529999
2017-02-03	63.68	118.41999799999999
2017-02-06	63.639998999999996	118.139999
2017-02-07	63.43	118.129997
2017-02-08	63.34	118.260002
2017-02-09	64.059998	119.040001
2017-02-10	64.0	119.540001
2017-02-13	64.720001	120.139999
2017-02-14	64.57	120.58000200000001
2017-02-15	64.529999	121.239998
2017-02-16	64.519997	121.129997
2017-02-17	64.620003	121.309998
2017-02-21	64.489998	122.029999
2017-02-22	64.360001	121.870003
2017-02-23	64.620003	121.779999
2017-02-24	64.620003	121.980003
2017-02-27	64.230003	122.25
2017-02-28	63.98	121.800003
2017-03-01	64.940002	123.440002
2017-03-02	64.010002	122.650002
2017-03-03	64.25	122.75
2017-03-06	64.269997	122.269997
2017-03-07	64.400002	121.879997
2017-03-08	64.989998	121.540001
2017-03-09	64.730003	121.599998
2017-03-10	64.93	122.040001
2017-03-13	64.709999	122.129997
2017-03-14	64.410004	121.690002
2017-03-15	64.75	122.790001
2017-03-16	64.639999	122.639999
2017-03-17	64.870003	122.57
2017-03-20	64.93	122.279999
2017-03-21	64.209999	120.57
2017-03-22	65.029999	120.730003
2017-03-23	64.870003	120.690002
2017-03-24	64.980003	120.160004
2017-03-27	65.099998	120.019997
2017-03-28	65.290001	120.860001
2017-03-29	65.470001	121.08000200000001
2017-03-30	65.709999	121.529999
2017-03-31	65.860001	121.32
2017-04-03	65.550003	121.019997
2017-04-04	65.730003	121.08000200000001
2017-04-05	65.559998	120.589996
2017-04-06	65.730003	120.970001
2017-04-07	65.68	120.879997
2017-04-10	65.529999	121.029999
2017-04-11	65.480003	120.989998
2017-04-12	65.230003	120.370003
2017-04-13	64.949997	119.550003
2017-04-17	65.480003	120.589996
2017-04-18	65.389999	120.33000200000001
2017-04-19	65.040001	120.230003
2017-04-20	65.5	121.220001
2017-04-21	66.400002	120.83000200000001
2017-04-24	67.529999	122.110001
2017-04-25	67.91999799999999	122.870003
2017-04-26	67.83000200000001	122.900002
2017-04-27	68.269997	123.019997
2017-04-28	68.459999	122.610001
2017-05-01	69.410004	122.93
2017-05-02	69.300003	122.93
2017-05-03	69.08000200000001	122.629997
2017-05-04	68.809998	122.720001
2017-05-05	69.0	123.33000200000001
2017-05-08	68.940002	123.139999
2017-05-09	69.040001	123.099998
2017-05-10	69.309998	123.370003
2017-05-11	68.459999	123.010002
2017-05-12	68.379997	122.769997
2017-05-15	68.43	123.43
2017-05-16	69.410004	123.360001
2017-05-17	67.480003	121.139999
2017-05-18	67.709999	121.5
2017-05-19	67.690002	122.370003
2017-05-22	68.449997	123.019997
2017-05-23	68.68	123.230003
2017-05-24	68.769997	123.589996
2017-05-25	69.620003	124.110001
2017-05-26	69.959999	124.089996
